RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,ARCH_DECADE,PYEONG,PYEONG_GROUP,PRICE_EUK,PRICE_PER_PYEONG
2025,11680,강남구,11000,압구정동,1,대지,447,0,"현대14차(203,204,205,206동)",2025-06-02,520000,84.98,0.0,9,,,1987,아파트,직거래,,1980년대,25.70645,20평형대,52.0,20228.386261035655
2025,11680,강남구,10300,개포동,1,대지,1282,0,개포래미안포레스트,2025-06-02,320000,84.9,0.0,28,,,2020,아파트,직거래,,2020년대,25.68225,20평형대,32.0,12459.967487272337
2025,11680,강남구,11200,자곡동,1,대지,611,0,래미안강남힐즈,2025-05-30,215000,101.94,0.0,14,,,2014,아파트,중개거래,서울 강남구,2010년대,30.83685,30평형대,21.5,6972.177767832966
2025,11680,강남구,11100,세곡동,1,대지,533,0,세곡푸르지오,2025-05-30,145500,84.83,0.0,3,,,2012,아파트,중개거래,서울 강남구,2010년대,25.661075,20평형대,14.55,5670.066433304139
2025,11680,강남구,11800,도곡동,1,대지,467,0,타워팰리스1,2025-05-30,367000,120.78,0.0,32,,,2002,아파트,중개거래,서울 강남구,2000년대,36.53595,30평형대,36.7,10044.900981088489
2025,11680,강남구,11800,도곡동,1,대지,467,0,타워팰리스1,2025-05-30,367000,120.78,0.0,32,,2025-05-30,2002,아파트,중개거래,서울 강남구,2000년대,36.53595,30평형대,36.7,10044.900981088489
2025,11680,강남구,11200,자곡동,1,대지,611,0,래미안강남힐즈,2025-05-29,182500,91.96,0.0,10,,,2014,아파트,직거래,,2010년대,27.817899999999998,20평형대,18.25,6560.523979164495
2025,11680,강남구,10100,역삼동,1,대지,757,0,역삼래미안,2025-05-29,250000,59.4,0.0,6,,,2005,아파트,중개거래,"서울 강남구, 서울 동작구",2000년대,17.9685,10평형대,25.0,13913.237053732923
2025,11680,강남구,11500,수서동,1,대지,746,0,까치마을,2025-05-29,140000,49.5,0.0,10,,,1993,아파트,중개거래,서울 강남구,1990년대,14.973749999999999,10평형대,14.0,9349.695300108524
2025,11680,강남구,11400,일원동,1,대지,718,0,샘터마을,2025-05-28,290000,134.438,0.0,4,,,1994,아파트,중개거래,"서울 강남구, 서울 송파구",1990년대,40.667494999999995,40평형대,29.0,7131.002290650064
2025,11680,강남구,10600,대치동,1,대지,986,0,하이캐슬102동,2025-05-28,217000,138.91,0.0,4,,,2005,아파트,중개거래,서울 강남구,2000년대,42.020275,40평형대,21.7,5164.173723280012
2025,11680,강남구,11800,도곡동,1,대지,527,0,도곡렉슬,2025-05-28,365000,119.89,0.0,2,,,2006,아파트,중개거래,서울 강남구,2000년대,36.266725,30평형대,36.5,10064.322047276119
2025,11680,강남구,11800,도곡동,1,대지,966,0,매봉삼성,2025-05-27,163000,83.49,0.0,6,,,1999,아파트,중개거래,"서울 강남구, 서울 서초구",1990년대,25.255724999999998,20평형대,16.3,6453.982215913422
2025,11680,강남구,10300,개포동,1,대지,1281,0,디에이치아너힐즈,2025-05-26,350000,86.6,0.0,1,,,2019,아파트,중개거래,서울 강남구,2010년대,26.196499999999997,20평형대,35.0,13360.563434046535
2025,11680,강남구,10600,대치동,1,대지,891,28,대치동우정에쉐르1,2025-05-26,59000,59.98,0.0,10,,,2004,아파트,중개거래,서울 강남구,2000년대,18.14395,10평형대,5.9,3251.7726294439744
2025,11680,강남구,10500,삼성동,1,대지,2,0,서광아파트,2025-05-24,206000,59.67,0.0,12,,,1998,아파트,중개거래,"서울 강남구, 서울 성동구",1990년대,18.050175,10평형대,20.6,11412.63173348735
2025,11680,강남구,10500,삼성동,1,대지,142,7,LG선릉에클라트(A),2025-05-24,35000,36.16,0.0,6,,,2003,아파트,중개거래,서울 강남구,2000년대,10.938399999999998,10평형대,3.5,3199.7367073795076
2025,11680,강남구,10800,논현동,1,대지,276,1,아크로힐스논현,2025-05-23,250000,84.074,0.0,25,,,2014,아파트,중개거래,서울 강남구,2010년대,25.432385,20평형대,25.0,9829.98645231267
2025,11680,강남구,11800,도곡동,1,대지,952,0,대우디오빌,2025-05-23,25500,25.89,0.0,14,,,2004,아파트,중개거래,서울 강남구,2000년대,7.831725,0평형대,2.55,3255.987665552608
2025,11680,강남구,10400,청담동,1,대지,43,0,청담우방아파트,2025-05-23,238000,118.53,0.0,12,,,1999,아파트,중개거래,서울 강남구,1990년대,35.855325,30평형대,23.8,6637.786716477956
