,landing,deposit,diff,
1996-01,11.43,10.42,1.01,
1996-02,11.47,10.26,1.21,
1996-03,11.37,10.33,1.04,
1996-04,11.11,9.88,1.23,
1996-05,11.24,9.62,1.62,
1996-06,11.3,10.49,0.81,
1996-07,11.16,10.63,0.53,
1996-08,11.07,11.83,-0.76,
1996-09,11.1,11.98,-0.88,
1996-10,11.14,11.6,-0.46,
1996-11,10.99,11.1,-0.11,
1996-12,11.12,11.32,-0.2,
1997-01,11.37,10.92,0.45,
1997-02,11.34,10.74,0.6,
1997-03,11.46,11.15,0.31,
1997-04,11.46,11.32,0.14,
1997-05,11.39,11.01,0.38,
1997-06,11.43,10.49,0.94,
1997-07,11.46,10.46,1,
1997-08,11.64,10.97,0.67,
1997-09,11.82,11.38,0.44,
1997-10,11.76,11.71,0.05,
1997-11,12.22,11.89,0.33,
1997-12,14.58,13.78,0.8,
1998-01,17.01,17.67,-0.66,
1998-02,16.86,17.79,-0.93,
1998-03,16.94,17.98,-1.04,
1998-04,17,17.39,-0.39,
1998-05,16.87,16.43,0.44,
1998-06,16.49,15.06,1.43,
1998-07,15.51,12.46,3.05,
1998-08,14.93,10.57,4.36,
1998-09,14.25,9.85,4.4,
1998-10,13.01,8.55,4.46,
1998-11,11.97,7.85,4.12,
1998-12,11.33,7.97,3.36,
1999-01,11.09,7.62,3.47,
1999-02,10.75,7.51,3.24,
1999-03,10.27,7.42,2.85,
1999-04,9.76,6.68,3.08,
1999-05,9.33,6.45,2.88,
1999-06,9.06,6.52,2.54,
1999-07,8.93,6.47,2.46,
1999-08,8.86,6.63,2.23,
1999-09,8.83,6.75,2.08,
1999-10,8.71,6.91,1.8,
1999-11,8.58,6.84,1.74,
1999-12,8.58,7.02,1.56,
2000-01,8.59,7.15,1.44,
2000-02,8.64,7.24,1.4,
2000-03,8.79,7.24,1.55,
2000-04,8.61,7.19,1.42,
2000-05,8.62,7.06,1.56,
2000-06,8.49,7.01,1.48,
2000-07,8.51,6.98,1.53,
2000-08,8.41,6.96,1.45,
2000-09,8.43,6.83,1.6,
2000-10,8.51,6.88,1.63,
2000-11,8.53,6.82,1.71,
2000-12,8.41,6.8,1.61,
2001-01,8.45,6.66,1.79,
2001-02,8.34,6.09,2.25,
2001-03,8.26,5.82,2.44,
2001-04,8.1,5.74,2.36,
2001-05,7.99,5.76,2.23,
2001-06,7.89,5.7,2.19,
2001-07,7.78,5.57,2.21,
2001-08,7.51,5.18,2.33,
2001-09,7.26,4.9,2.36,
2001-10,7.07,4.57,2.5,
2001-11,6.92,4.58,2.34,
2001-12,6.84,4.64,2.2,
2002-01,6.83,4.72,2.11,
2002-02,6.71,4.64,2.07,
2002-03,6.72,4.7,2.02,
2002-04,6.75,4.72,2.03,
2002-05,6.73,4.79,1.94,
