CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
19,23.5224,10.0,8,2,0,4,0
0,25.68225,5.0,28,4,1,5,1
10,16.60725,17.0,7,2,0,3,0
3,25.709475,10.0,13,3,0,2,0
9,25.67015,32.0,11,3,0,3,0
10,34.1583,18.0,17,4,0,3,0
10,15.448675,12.0,7,2,0,3,0
15,25.546125,24.0,12,4,0,4,0
8,25.0107,32.0,10,1,0,3,1
3,45.390125000000005,30.0,13,2,0,2,0
15,25.70645,7.0,5,5,0,4,0
24,15.103825,29.0,11,2,0,3,0
16,18.140925,27.0,12,1,0,3,0
3,25.70645,8.0,7,3,0,2,0
16,13.040775,24.0,8,1,0,3,0
21,25.655025,26.0,3,2,0,3,0
4,18.104625,22.0,27,2,0,3,0
18,30.02615,38.0,4,2,0,3,1
6,18.14395,15.0,8,3,0,3,0
23,4.703875,11.0,10,2,0,5,0
16,18.1061375,22.0,10,1,0,3,0
2,18.14395,21.0,14,2,0,3,0
1,22.3465825,6.0,5,2,0,2,0
3,11.879175,9.0,10,2,0,2,0
1,15.1855,29.0,15,2,0,2,0
12,9.782850000000002,21.0,12,2,0,4,0
3,15.436575,31.0,10,2,0,2,0
4,18.0774,25.0,24,2,0,3,0
15,25.624775,25.0,21,2,0,4,0
18,16.280549999999998,38.0,13,2,0,3,1
10,14.16305,13.0,9,3,0,3,0
3,15.436575,31.0,3,2,0,2,0
6,24.203025,31.0,1,1,0,3,0
1,18.140925,6.0,8,3,0,2,0
18,25.564275,23.0,2,1,0,3,1
3,11.395175,30.0,2,2,0,2,0
8,10.4181,31.0,9,2,0,3,1
3,12.659625,31.0,10,2,0,2,0
9,14.17515,38.0,11,2,0,3,0
9,15.055425,29.0,9,2,0,3,0
15,25.69435,29.0,5,2,0,4,0
10,18.1152125,18.0,8,3,0,3,0
8,18.07135,26.0,5,2,0,3,1
13,17.738599999999998,28.0,13,2,0,4,0
5,18.134875,30.0,10,1,0,3,0
18,14.846699999999998,25.0,2,2,0,3,1
8,12.0758,36.0,4,2,0,3,1
8,18.15,25.0,15,1,0,3,1
12,22.62216,6.0,8,2,0,4,0
13,9.126425,19.0,5,2,0,4,0
18,25.642925,28.0,2,1,0,3,1
8,14.97375,35.0,14,2,0,3,1
4,11.7733,40.0,3,2,0,3,0
11,25.5068,31.0,15,2,0,3,0
2,18.09555,26.0,2,2,0,3,0
3,25.5915,21.0,1,2,0,2,0
10,18.137295,22.0,16,3,0,3,0
14,20.845275,47.0,9,2,1,5,1
13,25.703425,7.0,9,3,0,4,0
1,25.648975,23.0,8,2,0,2,0
4,25.703425,17.0,5,2,0,3,0
7,20.796875,3.0,1,2,0,3,0
1,18.146975,17.0,26,3,0,2,0
8,10.6722,37.0,11,2,0,3,1
0,30.83685,11.0,14,4,1,5,1
1,18.13185,30.0,9,1,0,2,0
21,18.11975,6.0,16,3,0,3,0
12,42.80828749999999,34.0,1,2,0,4,0
21,30.7824,16.0,12,3,0,3,0
15,44.839575,39.0,11,2,0,4,0
3,24.95625,22.0,6,2,0,2,0
0,25.661075,13.0,3,3,1,5,1
9,18.146975,31.0,6,2,0,3,0
0,36.53595,23.0,32,3,1,5,1
2,18.14395,21.0,3,2,0,3,0
15,22.079475,50.0,4,2,0,4,0
7,18.13185,27.0,3,2,0,3,0
13,25.7091725,10.0,2,3,0,4,0
4,30.304450000000003,22.0,2,2,0,3,0
13,25.691325000000003,35.0,7,2,0,4,0
8,18.110675,36.0,9,2,0,3,1
0,36.53595,23.0,32,3,1,5,1
11,18.116725,32.0,10,2,0,3,0
16,20.609325,27.0,13,2,0,3,0
24,25.652,25.0,2,2,0,3,0
8,18.134875,27.0,11,2,0,3,1
16,25.437225,20.0,9,2,0,3,0
