CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
13,36.788235,10.0,32,5,0,4,0
17,18.104625,12.0,5,2,1,4,1
17,25.70645,17.0,10,2,1,4,1
11,4.29187,13.0,1,2,0,3,0
5,25.67015,29.0,20,2,0,3,0
13,4.77708,5.0,6,3,0,4,0
9,25.679225,21.0,5,2,0,3,0
13,25.65805,7.0,27,3,0,4,0
17,25.648975,17.0,5,3,1,4,1
15,18.1379,25.0,4,3,0,4,0
11,20.0330625,37.0,13,1,0,3,0
6,25.697375,24.0,18,2,0,3,0
12,25.5905925,11.0,3,4,0,4,0
3,14.9919,33.0,5,2,0,2,0
8,28.171825,37.0,2,2,0,3,1
12,17.9927,25.0,5,4,0,4,0
19,16.1051,36.0,7,2,0,4,0
18,25.703425,24.0,6,2,0,3,1
3,34.78145,17.0,14,3,0,2,0
12,17.977574999999998,39.0,14,2,0,4,0
8,13.34025,32.0,11,2,0,3,1
12,18.1258,22.0,15,3,0,4,0
12,25.60965,19.0,14,3,0,4,0
12,25.570325,20.0,4,3,0,4,0
6,18.11975,29.0,12,2,0,3,0
16,18.1061375,22.0,15,1,0,3,0
15,34.7182275,13.0,3,3,0,4,0
3,25.570325,18.0,5,3,0,2,0
3,34.78145,17.0,14,3,0,2,0
13,22.018975,2.0,14,3,0,4,0
19,25.618725,25.0,3,1,0,4,0
14,18.140925,5.0,13,4,1,5,1
16,24.529725,22.0,6,2,0,3,0
13,5.99555,3.0,4,2,0,4,0
0,18.1379,11.0,3,3,1,5,1
13,18.08587,20.0,2,4,0,4,0
18,17.91768,20.0,1,2,0,3,1
13,9.03265,3.0,2,2,0,4,0
10,25.709475,3.0,8,4,0,3,0
13,9.03265,3.0,4,2,0,4,0
14,40.15385,22.0,6,2,1,5,1
13,5.99555,3.0,3,2,0,4,0
8,34.657425,36.0,2,2,0,3,1
13,9.03265,3.0,2,2,0,4,0
13,9.03265,3.0,6,2,0,4,0
13,5.99555,3.0,4,2,0,4,0
13,9.03265,3.0,6,2,0,4,0
8,34.5576,26.0,4,2,0,3,1
17,25.709475,17.0,18,2,1,4,1
17,38.38725,41.0,12,3,1,4,1
10,25.67015,24.0,13,2,0,3,0
13,9.03265,3.0,2,2,0,4,0
13,9.03265,3.0,2,2,0,4,0
3,22.1793,21.0,3,2,0,2,0
19,25.709475,26.0,13,2,0,4,0
19,25.69435,22.0,15,4,0,4,0
13,9.03265,3.0,4,2,0,4,0
15,34.7182275,13.0,3,3,0,4,0
13,9.03265,3.0,4,2,0,4,0
13,9.03265,3.0,4,2,0,4,0
6,15.6816,27.0,11,1,0,3,0
13,9.03265,3.0,4,2,0,4,0
13,9.03265,3.0,6,2,0,4,0
3,25.68225,30.0,13,2,0,2,0
13,9.03265,3.0,2,2,0,4,0
13,9.03265,3.0,7,2,0,4,0
13,9.03265,3.0,7,2,0,4,0
13,9.03265,3.0,3,2,0,4,0
13,9.03265,3.0,3,2,0,4,0
13,9.03265,3.0,3,2,0,4,0
0,36.5489575,19.0,22,2,1,5,1
4,18.15,22.0,19,2,0,3,0
8,16.49835,37.0,5,2,0,3,1
8,18.1379,24.0,20,2,0,3,1
7,17.929175,8.0,32,3,0,3,0
0,28.6891,6.0,31,5,1,5,1
3,25.570325,18.0,5,3,0,2,0
13,25.7004,29.0,9,1,0,4,0
12,25.697375,18.0,1,2,0,4,0
12,25.5905925,11.0,3,4,0,4,0
4,8.0949,27.0,10,3,0,3,0
17,29.9475,46.0,10,2,1,4,1
12,18.1127925,4.0,9,5,0,4,0
1,17.9685,26.0,6,2,0,2,0
18,15.5727,40.0,6,2,0,3,1
1,18.086475,27.0,12,2,0,2,0
1,18.1379,9.0,29,4,0,2,0
13,25.7037275,10.0,19,5,0,4,0
22,25.595735,8.0,4,5,0,5,0
8,9.797975,37.0,5,2,0,3,1
13,5.99555,3.0,6,2,0,4,0
13,5.99555,3.0,5,2,0,4,0
13,9.03265,3.0,5,2,0,4,0
13,5.99555,3.0,2,2,0,4,0
13,5.99555,3.0,7,2,0,4,0
1,17.85597,6.0,15,2,0,2,0
13,5.99555,3.0,7,2,0,4,0
13,5.99555,3.0,6,2,0,4,0
13,5.99555,3.0,3,2,0,4,0
13,9.03265,3.0,5,2,0,4,0
13,9.03265,3.0,5,2,0,4,0
13,9.03265,3.0,3,2,0,4,0
13,9.03265,3.0,3,2,0,4,0
13,9.03265,3.0,5,2,0,4,0
10,18.14395,14.0,10,4,0,3,0
17,25.11355,30.0,14,1,1,4,1
0,18.11491,19.0,9,3,1,5,1
6,51.1826975,26.0,17,2,0,3,0
13,25.709475,1.0,20,2,0,4,0
21,18.14395,7.0,1,3,0,3,0
12,34.70885,16.0,19,2,0,4,0
17,25.6232625,37.0,10,2,1,4,1
17,19.55965,13.0,23,4,1,4,1
0,25.48139,17.0,11,3,1,5,1
1,25.2285,41.0,8,2,0,2,0
13,18.15,24.0,9,4,0,4,0
9,18.30125,37.0,9,2,0,3,0
23,25.6762,26.0,10,2,0,5,0
1,28.298875,28.0,8,2,0,2,0
13,18.08587,20.0,2,4,0,4,0
3,12.027399999999998,32.0,12,2,0,2,0
13,18.08587,20.0,2,4,0,4,0
3,22.1793,21.0,3,2,0,2,0
1,28.298875,28.0,8,2,0,2,0
0,25.7085675,22.0,5,2,1,5,1
5,18.140925,26.0,4,1,0,3,0
8,25.703425,23.0,19,2,0,3,1
10,18.032025,22.0,11,1,0,3,0
11,25.588475,23.0,4,3,0,3,0
10,25.673175,22.0,18,1,0,3,0
14,18.14395,16.0,3,5,1,5,1
11,20.0330625,37.0,13,1,0,3,0
