school_type,type,school_name,address,high_school_type
중학교,사립,동국대학교사범대학부속가람중학교,서울특별시 광진구 광나루로36길 47,
각종학교(중),사립,선화예술중학교,서울특별시 광진구 천호대로 664,
초등학교,공립,서울숭신초등학교,서울특별시 성동구 마장로 161,
중학교,공립,행당중학교,서울특별시 성동구 왕십리로 189,
중학교,사립,한양대학교사범대학부속중학교,서울특별시 성동구 마조로 42,
중학교,공립,자양중학교,서울특별시 광진구 뚝섬로41길 33,
중학교,공립,용곡중학교,서울특별시 광진구 용마산로22길 76,
중학교,공립,옥정중학교,서울특별시 성동구 한림말길 11,
중학교,공립,양진중학교,서울특별시 광진구 워커힐로 32,
중학교,공립,신양중학교,서울특별시 광진구 자양강변길 73,
중학교,공립,성원중학교,서울특별시 성동구 성덕정9가길 13,
중학교,공립,성수중학교,서울특별시 성동구 서울숲길 18,
중학교,공립,무학중학교,서울특별시 성동구 행당로 120,
중학교,공립,마장중학교,서울특별시 성동구 마장로35나길 31,
중학교,사립,대원국제중학교,서울특별시 광진구 용마산로22길 26,
중학교,공립,동마중학교,서울특별시 성동구 마조로11길 18,
중학교,공립,구의중학교,서울특별시 광진구 광나루로30길 80,
중학교,공립,광희중학교,서울특별시 성동구 독서당로62길 46,
중학교,공립,광진중학교,서울특별시 광진구 뚝섬로64길 45,
중학교,공립,광장중학교,서울특별시 광진구 광장로1길 1,
중학교,공립,광양중학교,서울특별시 광진구 자양로3길 7,
중학교,공립,광남중학교,서울특별시 광진구 아차산로70길 17-62,
중학교,공립,경일중학교,서울특별시 성동구 성수일로 27,
중학교,공립,경수중학교,서울특별시 성동구 뚝섬로13길 14,
중학교,사립,건국대학교사범대학부속중학교,서울특별시 광진구 자양로 145-1,
초등학교,사립,한양초등학교,서울특별시 성동구 살곶이길 208,
초등학교,사립,세종초등학교,서울특별시 광진구 군자로 114,
초등학교,사립,성동초등학교,서울특별시 광진구 자양로4길 63,
초등학교,공립,서울행현초등학교,서울특별시 성동구 행당로 95,
초등학교,공립,서울행당초등학교,서울특별시 성동구 고산자로8길 6,
초등학교,공립,서울중마초등학교,서울특별시 광진구 동일로72길 43,
초등학교,공립,서울중광초등학교,서울특별시 광진구 긴고랑로13길 59,
초등학교,공립,서울장안초등학교,서울특별시 광진구 군자로 74,
초등학교,공립,서울자양초등학교,서울특별시 광진구 아차산로44길 26,
초등학교,공립,서울응봉초등학교,서울특별시 성동구 독서당로62길 28,
초등학교,공립,서울용마초등학교,서울특별시 광진구 천호대로113길 10,
초등학교,공립,서울용답초등학교,서울특별시 성동구 용답25길 1,
초등학교,공립,서울용곡초등학교,서울특별시 광진구 용마산로22길 82,
초등학교,공립,서울옥정초등학교,서울특별시 성동구 한림말길 43,
초등학교,공립,서울옥수초등학교,서울특별시 성동구 금호로1길 25,
초등학교,공립,서울양진초등학교,서울특별시 광진구 워커힐로 32,
초등학교,공립,서울양남초등학교,서울특별시 광진구 뚝섬로64길 71,
초등학교,공립,서울신자초등학교,서울특별시 광진구 뚝섬로46길 64,
초등학교,공립,서울신양초등학교,서울특별시 광진구 능동로 42,
초등학교,공립,서울송원초등학교,서울특별시 성동구 동일로43길 9,
초등학교,공립,서울성자초등학교,서울특별시 광진구 뚝섬로56길 7,
초등학교,공립,서울성수초등학교,서울특별시 성동구 아차산로17길 21,
초등학교,공립,서울사근초등학교,서울특별시 성동구 사근동11길 16,
초등학교,공립,서울무학초등학교,서울특별시 성동구 무학봉15길 21,
초등학교,공립,서울마장초등학교,서울특별시 성동구 마장로35나길 31,
초등학교,공립,서울동호초등학교,서울특별시 성동구 매봉길 49-35,
초등학교,공립,서울동자초등학교,서울특별시 광진구 뚝섬로 561,
초등학교,공립,서울동의초등학교,서울특별시 광진구 영화사로 111,
초등학교,공립,서울동명초등학교,서울특별시 성동구 마장로29길 29,
초등학교,공립,서울금호초등학교,서울특별시 성동구 무수막길 69,
초등학교,공립,서울금옥초등학교,서울특별시 성동구 독서당로 251,
초등학교,공립,서울금북초등학교,서울특별시 성동구 행당로1길 13,
초등학교,공립,서울구의초등학교,서울특별시 광진구 광나루로30길 49,
초등학교,공립,서울구남초등학교,서울특별시 광진구 구의강변로 69,
초등학교,공립,서울광진초등학교,서울특별시 광진구 자양로40길 41,
초등학교,공립,서울광장초등학교,서울특별시 광진구 광장로1길 27,
초등학교,공립,서울광남초등학교,서울특별시 광진구 아차산로70길 35,
초등학교,공립,서울경일초등학교,서울특별시 성동구 뚝섬로 332,
초등학교,공립,서울경수초등학교,서울특별시 성동구 뚝섬로13길 22,
초등학교,공립,서울경동초등학교,서울특별시 성동구 성수일로 34,
초등학교,사립,경복초등학교,서울특별시 광진구 천호대로130길 58,
중학교,사립,중앙대학교사범대학부속중학교,서울특별시 동작구 서달로 124,
중학교,공립,장승중학교,서울특별시 동작구 장승배기로10가길 25,
중학교,공립,인헌중학교,서울특별시 관악구 인헌9길 35,
중학교,공립,영등포중학교,서울특별시 동작구 등용로8길 5,
중학교,공립,신림중학교,서울특별시 관악구 신림로 40,
중학교,공립,신관중학교,서울특별시 관악구 신림로48길 17-16,
중학교,사립,숭의여자중학교,서울특별시 동작구 여의대방로36길 79,
중학교,사립,성보중학교,서울특별시 관악구 남부순환로156길 39,
중학교,사립,성남중학교,서울특별시 동작구 대방동길 74,
중학교,사립,서울문영여자중학교,서울특별시 관악구 관악로 85,
중학교,공립,상현중학교,서울특별시 동작구 사당로2길 2-19,
중학교,공립,상도중학교,서울특별시 동작구 사당로2가길 72,
중학교,공립,삼성중학교,서울특별시 관악구 신림로3가길 39-24,
중학교,공립,사당중학교,서울특별시 동작구 사당로9가길 58,
중학교,공립,봉원중학교,서울특별시 관악구 관악로24가길 15,
중학교,공립,봉림중학교,서울특별시 관악구 장군봉길 72,
중학교,공립,미성중학교,서울특별시 관악구 문성로16길 40,
중학교,공립,문창중학교,서울특별시 동작구 여의대방로22나길 40,
중학교,공립,동작중학교,서울특별시 동작구 동작대로39가길 83,
중학교,사립,동양중학교,서울특별시 동작구 흑석로9길 94,
중학교,공립,대방중학교,서울특별시 동작구 여의대방로10길 24,
중학교,공립,당곡중학교,서울특별시 관악구 봉천로13길 101,
중학교,공립,남성중학교,서울특별시 동작구 남부순환로269길 166,
중학교,공립,남서울중학교,서울특별시 관악구 남부순환로172길 97,
중학교,사립,남강중학교,서울특별시 관악구 난곡로34길 80,
중학교,공립,난우중학교,서울특별시 관악구 난곡로16길 32,
중학교,공립,국사봉중학교,서울특별시 동작구 양녕로20길 20,
중학교,공립,구암중학교,서울특별시 관악구 성현로 53,
중학교,사립,광신중학교,서울특별시 관악구 광신길 141,
중학교,공립,관악중학교,서울특별시 관악구 남부순환로237길 60,
중학교,공립,강현중학교,서울특별시 동작구 상도로13라길 22,
중학교,공립,강남중학교,서울특별시 동작구 대방동15길 29,
초등학교,사립,중앙대학교사범대학부속초등학교,서울특별시 동작구 서달로 135,
초등학교,공립,서울흑석초등학교,서울특별시 동작구 현충로 87,
초등학교,공립,서울행림초등학교,서울특별시 동작구 솔밭로 47,
초등학교,공립,서울청룡초등학교,서울특별시 관악구 관악로5길 61,
초등학교,공립,서울조원초등학교,서울특별시 관악구 조원로 67,
초등학교,공립,서울인헌초등학교,서울특별시 관악구 낙성대로 23,
초등학교,공립,서울은천초등학교,서울특별시 관악구 은천로 69,
초등학교,공립,서울은로초등학교,서울특별시 동작구 서달로 115,
초등학교,공립,서울원신초등학교,서울특별시 관악구 광신길 177,
초등학교,공립,서울원당초등학교,서울특별시 관악구 봉천로 505,
초등학교,공립,서울영화초등학교,서울특별시 동작구 등용로8길 3,
초등학교,공립,서울영본초등학교,서울특별시 동작구 만양로12가길 69,
초등학교,공립,서울신우초등학교,서울특별시 관악구 호암로 498,
초등학교,공립,서울신성초등학교,서울특별시 관악구 신림로 114,
