iter	RMSE
0	9.207670583
1	8.712741652
2	8.263944107
3	7.875431249
4	7.530549549
5	7.242134141
6	6.973549213
7	6.719722544
8	6.479459362
9	6.281534894
10	6.091342362
11	5.919021122
12	5.77509713
13	5.628224243
14	5.501310075
15	5.385756254
16	5.277240481
17	5.171873153
18	5.075435642
19	4.988557064
20	4.914022166
21	4.844104037
22	4.758355871
23	4.697726774
24	4.641872208
25	4.581911299
26	4.530018098
27	4.48154066
28	4.436502507
29	4.399827103
30	4.358160116
31	4.321690005
32	4.284324922
33	4.243979921
34	4.21332348
35	4.183296643
36	4.156262044
37	4.125801777
38	4.097039324
39	4.06995032
40	4.036604604
41	4.010777555
42	3.986107744
43	3.961203127
44	3.93990288
45	3.92286381
46	3.89772628
47	3.872351627
48	3.847374356
49	3.827604068
50	3.806101686
51	3.789068762
52	3.772372505
53	3.756440172
54	3.740133948
55	3.72631954
56	3.708897075
57	3.690725731
58	3.679640845
59	3.666128681
60	3.652696101
61	3.634921672
62	3.620171091
63	3.609133784
64	3.595357905
65	3.583212815
66	3.57358666
67	3.561924015
68	3.552168322
69	3.540288865
70	3.531353285
71	3.517959174
72	3.508134955
73	3.497678989
74	3.489901744
75	3.478053163
76	3.470308944
77	3.456861669
78	3.442449196
79	3.430875256
80	3.422406494
81	3.40995125
82	3.401842791
83	3.393838332
84	3.383779532
85	3.37599872
86	3.364005836
87	3.354010517
88	3.340970304
89	3.329213312
90	3.321562207
91	3.314671614
92	3.304647697
93	3.299778832
94	3.292282089
95	3.28133144
96	3.271279747
97	3.263773923
98	3.256185184
99	3.246133206
