iter	Passed	Remaining
0	54	5421
1	56	2754
2	57	1864
3	59	1420
4	60	1156
5	62	976
6	63	850
7	65	754
8	67	678
9	68	619
10	70	570
11	72	528
12	73	493
13	75	462
14	76	435
15	78	411
16	79	389
17	81	370
18	82	353
19	84	337
20	86	323
21	87	310
22	89	299
23	90	287
24	92	277
25	94	267
26	95	259
27	97	250
28	98	241
29	100	234
30	101	226
31	103	220
32	105	213
33	106	206
34	108	200
35	110	195
36	111	190
37	113	184
38	114	178
39	116	174
40	117	168
41	119	164
42	120	159
43	122	155
44	123	151
45	125	147
46	127	143
47	128	139
48	129	135
49	131	131
50	133	127
51	134	124
52	136	120
53	137	117
54	139	113
55	140	110
56	141	107
57	143	103
58	145	100
59	146	97
60	148	94
61	149	91
62	151	88
63	152	85
64	154	83
65	155	80
66	157	77
67	158	74
68	160	71
69	161	69
70	163	66
71	164	64
72	166	61
73	167	58
74	169	56
75	170	53
76	172	51
77	173	48
78	175	46
79	176	44
80	178	41
81	179	39
82	181	37
83	183	34
84	184	32
85	186	30
86	187	28
87	189	25
88	190	23
89	192	21
90	194	19
91	195	17
92	197	14
93	199	12
94	200	10
95	202	8
96	203	6
97	205	4
98	207	2
99	209	0
